Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
6/10/2023,Saturday,Detroit,USA,Midwest,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,109,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Silver,Swirls,Magenta,Navy Sparkles,,
6/16/2023,Friday,Pittsburgh,USA,Northeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Long Silver,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Green,Orange,113,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Iridescent,Lines,Magenta,Navy Sparkles,,
6/17/2023,Saturday,Pittsburgh,USA,Northeast,2,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Cream,Orange,105,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Silver,Swirls,Multicolor,Navy Sparkles,,
6/23/2023,Friday,Minneapolis,USA,Midwest,1,Blue & Gold,Black,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Champagne,No,Purple Metallic,Red & Black,Snake,Purple,Orange,85,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Pink,Swirls,Multicolor,Navy Sparkles,,
6/24/2023,Saturday,Minneapolis,USA,Midwest,2,Purple Tassels,Silver,Blurple Sparkles,Purple,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,No,Purple Metallic,Red & Black,Snake,Pink,Orange,136,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Lines,Magenta,Navy Sparkles,,
6/30/2023,Friday,Cincinnati,USA,Midwest,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,White/Silver,No,Purple Metallic,Red & Black,Snake,Cream,Orange,77,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Iridescent,Swirls,Magenta,Navy Sparkles,,
7/1/2023,Saturday,Cincinnati,USA,Midwest,2,Blue & Gold,Black,Rain,Blue,Rain,Long Silver,Rain,Ew,Rain,Red/Black,Like Ever,Black,Rain,Pink,No,Rain,Red & Black,Snake,Green,Orange,56,Green,Rain,Orange,Orange,Orange,Orange,Matching Set,Rain,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Silver,Lines,Multicolor,Rain,,
7/7/2023,Friday,Kansas City,USA,Midwest,1,Purple Tassels,Silver,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Never Ever,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Purple,Orange,74,Green,Wood Grain,Orange,Orange,Orange,Orange,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Yellow,Purple,Orchid,Swirls,Multicolor,Navy Sparkles,,
7/8/2023,Saturday,Kansas City,USA,Midwest,2,Pink & Blue,Silver,Blurple Sparkles,Blue,Pastel,Short Fringe,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Purple,Yes,Purple Metallic,Red & Black,Snake,Green,Orange,103,Green,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Maroon,Purple,Purple,Lines,Multicolor,Navy Sparkles,,
7/14/2023,Friday,Denver,USA,West,1,Blue & Gold,Black,Blurple Sparkles,Blue,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black,Like Ever,Black,Black Sparkles,Pink,Yes,Purple Metallic,Red & Black,Snake,Pink,Orange,100,Green,Wood Grain,Green,Green,Green,Green,Matching Set,Blue Ombre,NA,NA,NA,NA,NA,NA,NA,Green,Purple,Iridescent,Lines,Blue,Navy Sparkles,,
